drugId,targetId,smiles,prefName
CHEMBL75880,ENSG00000157184,C1CCC(C(CC2CCCCN2)C2CCCCC2)CC1,PERHEXILINE
CHEMBL75880,ENSG00000198793,C1CCC(C(CC2CCCCN2)C2CCCCC2)CC1,PERHEXILINE
CHEMBL761,ENSG00000150594,c1ccc2c(CC3=NCCN3)cccc2c1,NAPHAZOLINE
CHEMBL761,ENSG00000184160,c1ccc2c(CC3=NCCN3)cccc2c1,NAPHAZOLINE
CHEMBL762,ENSG00000150594,Cc1cc(C(C)(C)C)c(O)c(C)c1CC1=NCCN1,OXYMETAZOLINE
CHEMBL762,ENSG00000184160,Cc1cc(C(C)(C)C)c(O)c(C)c1CC1=NCCN1,OXYMETAZOLINE
CHEMBL768,ENSG00000169252,COC(=O)CCc1ccc(OCC(O)CNC(C)C)cc1,ESMOLOL
CHEMBL770,ENSG00000150594,c1ccc(CC2=NCCN2)cc1,TOLAZOLINE
CHEMBL770,ENSG00000184160,c1ccc(CC2=NCCN2)cc1,TOLAZOLINE
CHEMBL770,ENSG00000196639,c1ccc(CC2=NCCN2)cc1,TOLAZOLINE
CHEMBL782,ENSG00000187486,CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1,TOLBUTAMIDE
CHEMBL79,ENSG00000169432,CCN(CC)CC(=O)Nc1c(C)cccc1C,LIDOCAINE
CHEMBL803,ENSG00000014138,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)c(=O)n1,CYTARABINE
CHEMBL803,ENSG00000100479,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)c(=O)n1,CYTARABINE
CHEMBL803,ENSG00000101868,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)c(=O)n1,CYTARABINE
CHEMBL803,ENSG00000148229,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)c(=O)n1,CYTARABINE
CHEMBL803,ENSG00000175482,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)c(=O)n1,CYTARABINE
CHEMBL806,ENSG00000169083,CC(C)C(=O)Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1,FLUTAMIDE
CHEMBL807,ENSG00000198785,CC12CC3CC(C)(C1)CC(N)(C3)C2,MEMANTINE
