pert_id,pert_iname,pert_type
TRCN0000021985,MED14,trt_sh
TRCN0000021987,MED14,trt_sh
TRCN0000005132,MEF2A,trt_sh
TRCN0000005133,MEF2A,trt_sh
TRCN0000005134,MEF2A,trt_sh
TRCN0000015817,MEF2C,trt_sh
TRCN0000280285,MEF2C,trt_sh
TRCN0000280635,MEF2C,trt_sh
TRCN0000004553,MIB1,trt_sh
TRCN0000004554,MIB1,trt_sh
TRCN0000004557,MIB1,trt_sh
TRCN0000329793,MITF,trt_sh
TRCN0000329863,MITF,trt_sh
TRCN0000329869,MITF,trt_sh
TRCN0000232196,MTA2,trt_sh
TRCN0000232197,MTA2,trt_sh
TRCN0000232198,MTA2,trt_sh
TRCN0000288622,NBN,trt_sh
TRCN0000288632,NBN,trt_sh
TRCN0000295898,NBN,trt_sh
TRCN0000019639,NCOA2,trt_sh
TRCN0000019640,NCOA2,trt_sh
TRCN0000276447,NCOA2,trt_sh
TRCN0000019703,NCOA3,trt_sh
TRCN0000365253,NCOA3,trt_sh
TRCN0000370320,NCOA3,trt_sh
TRCN0000054078,NECAB3,trt_sh
TRCN0000054080,NECAB3,trt_sh
TRCN0000054082,NECAB3,trt_sh
TRCN0000019859,NEUROD1,trt_sh
TRCN0000019860,NEUROD1,trt_sh
TRCN0000019862,NEUROD1,trt_sh
TRCN0000017628,NEUROD4,trt_sh
TRCN0000017629,NEUROD4,trt_sh
TRCN0000017632,NEUROD4,trt_sh
TRCN0000364580,NPAS3,trt_sh
TRCN0000364654,NPAS3,trt_sh
TRCN0000369372,NPAS3,trt_sh
TRCN0000058303,NRG1,trt_sh
TRCN0000058305,NRG1,trt_sh
TRCN0000058306,NRG1,trt_sh
TRCN0000037755,NRGN,trt_sh
TRCN0000037757,NRGN,trt_sh
TRCN0000037758,NRGN,trt_sh
TRCN0000063527,NRP1,trt_sh
TRCN0000322980,NRP1,trt_sh
TRCN0000323055,NRP1,trt_sh
TRCN0000186601,NRXN1,trt_sh
TRCN0000203688,NRXN1,trt_sh
TRCN0000204076,NRXN1,trt_sh
TRCN0000063569,NRXN3,trt_sh
TRCN0000063571,NRXN3,trt_sh
TRCN0000063572,NRXN3,trt_sh
TRCN0000055524,NUCB2,trt_sh
TRCN0000045999,OXA1L,trt_sh
TRCN0000019620,PHF17,trt_sh
TRCN0000360164,PHF17,trt_sh
TRCN0000363302,PHF17,trt_sh
TRCN0000135709,PHF20L1,trt_sh
TRCN0000137779,PHF20L1,trt_sh
